Lag,ACF,PACF
0,1.0,1.0
1,0.1942197820257326,0.19695527191341897
2,-0.2981830162454892,-0.3594369657429335
3,-0.21889596175714016,-0.09020168736215849
4,0.08331542457161614,0.06853736027104915
5,0.3030743978562334,0.22623509243254
6,0.09464350313963624,0.008449401645631889
7,-0.15147067921507795,-0.029353195627683626
8,-0.19173057228380982,-0.10117821087053595
9,0.023292200171059735,0.02487201651645313
10,0.14693184094901335,-0.0057785285394840406
11,-0.12522749148296225,-0.27455589954843657
12,-0.17867656488556705,-0.045332136136814194
13,-0.11984090835732995,-0.14454546577169067
14,0.06617751771138075,0.03634593696471989
15,-0.011096873720893914,-0.2302818819762631
16,-0.11409133804117551,-0.03758713625459932
17,-0.15462446371887167,-0.1821004012234995
18,-0.05262984305004728,-0.03449389481068695
19,-0.017686930481475713,-0.3020466457010769
20,0.0014982264578522844,-0.05933963435632615
21,0.024185457617359993,-0.017689500665283898
22,0.03084943725268964,0.026829136585461686
23,0.0927519315938108,0.14383208723514385
24,-0.09184315791122849,-0.39992646352187905
25,-0.147159914784263,-0.12779229500438222
26,0.10720169529788856,-0.010721229389554927
27,0.13846266048438358,-0.11396411041993502
28,0.0974001560124473,-0.1493222416904528
29,-0.015408895095038878,0.03131225546708056
30,-0.07101342341103326,-0.1794076976363899
31,-0.036209824182396586,-0.2742307078848484
32,0.11365310525285131,-0.10814436104276272
33,0.15841438190510107,-0.08434330596153435
34,-0.05449052448492949,-0.25198715034445107
35,-0.08006157889755552,-0.2726876122796239
